mass,961.9
size,293.8,204.1,326.1
Average Velocity,15.43
Velocity Stdev,8.473
Straight Factor,0.00598
Frame Z Position Stdev,0.59


Time(s),Path(x),Path(y),Path(z),Pos(x),Pos(y),Pos(z),force(x),force(y),force(z)
17.7,2.548,-0.1945,-0.2504,-1.914,0.001873,0.2606,2.755e-05,2.086e-09,-9.621e-05
17.73,2.627,-0.1949,-0.2516,-1.919,0.001916,0.2602,-2.071e-05,-1.26e-06,0.0007174
17.75,2.706,-0.195,-0.2526,-1.924,0.001939,0.2599,-0.0002283,1.908e-05,0.003379
17.77,2.785,-0.1949,-0.2534,-1.927,0.001925,0.2604,-0.0004698,8.221e-05,0.005795
17.8,2.863,-0.1946,-0.2541,-1.929,0.001904,0.2607,-0.001128,0.0002404,0.01114
17.82,2.942,-0.1938,-0.2547,-1.93,0.001941,0.2607,-0.005442,0.002756,0.02367
17.85,3.021,-0.1926,-0.2552,-1.931,0.002018,0.2604,-0.01377,0.004679,0.04114
17.88,3.099,-0.1912,-0.2557,-1.931,0.00205,0.2602,-0.02744,0.005158,0.06058
17.9,-3.106,-0.1895,-0.256,-1.931,0.002033,0.2599,-0.04722,0.005123,0.07991
17.93,-3.028,-0.1877,-0.2562,-1.932,0.002013,0.2596,-0.07319,0.004915,0.09869
17.95,-2.95,-0.1858,-0.2563,-1.933,0.001983,0.2593,-0.1042,0.004671,0.1165
17.98,-2.872,-0.1839,-0.2563,-1.935,0.001995,0.2594,-0.1358,0.004398,0.1322
18,-2.793,-0.1813,-0.2564,-1.938,0.002008,0.2596,-0.1672,0.004061,0.1455
18.02,-2.715,-0.178,-0.2566,-1.941,0.002025,0.2598,-0.192,0.003719,0.1558
18.05,-2.638,-0.174,-0.2568,-1.945,0.002053,0.2601,-0.2013,0.004312,0.1578
18.07,-2.56,-0.1696,-0.2571,-1.95,0.002057,0.2603,-0.217,0.002079,0.159
18.1,-2.482,-0.1654,-0.2574,-1.955,0.002076,0.2607,-0.2306,0.0001461,0.1603
18.13,-2.404,-0.1616,-0.2575,-1.962,0.00214,0.261,-0.2331,-0.0006185,0.167
18.15,-2.326,-0.1579,-0.2574,-1.968,0.002221,0.261,-0.2187,-0.001031,0.1697
18.18,-2.247,-0.1544,-0.2574,-1.975,0.002268,0.2611,-0.1937,-0.0009954,0.1561
